condition,observations,openai_calls,task_success,task_success_ci_lower,task_success_ci_upper,appropriate_abstention_f1,factual_correctness_mean,evidence_completeness_mean,citation_correctness_mean,unsupported_atomic_claim_rate_mean,authorization_accuracy,prohibited_disclosure_count,prohibited_disclosure_event_rate,latency_p50_ms,latency_p95_ms,input_tokens,output_tokens
structured-record-access,96,0,1,0.9615244121423243,1,1,1,1,1,0,1,0,0,,,0,0
deterministic-query-rules,96,0,1,0.9615244121423243,1,1,1,1,1,0,1,0,0,,,0,0
equivalent-non-chain-records,96,0,1,0.9615244121423243,1,1,1,1,1,0,1,0,0,,,0,0
ungrounded-model,480,480,0,0,0.007939499087277936,0.6840236686390533,0,0,0.75,0,0.9666666666666667,0,0,1716,3173.999999999999,126120,38106
ordinary-rag,480,480,0.23958333333333334,0.20356262025541433,0.2797392021858763,0.4456140350877193,1,1,0.5479166666666667,0.45208333333333334,0,60,0.125,1739.5,3087.2,162095,40997
governed-evllm,480,115,0.8645833333333334,0.8310631251947296,0.8923143233874637,0.9931972789115646,1,1,1,0,1,0,0,1675,3145,48620,9094
ablation-access-enforcement,480,175,0.8645833333333334,0.8310631251947296,0.8923143233874637,0.8815028901734104,1,1,0.875,0.125,0,54,0.1125,1694,2507.7999999999975,73990,14173
ablation-provenance-metadata,480,355,0.3645833333333333,0.32275813868430786,0.4085588089851632,0.784,1,1,0.75,0.25,1,0,0,1647,3125.6000000000004,145410,26201
ablation-conflict-precondition,480,175,0.7395833333333334,0.6985306265231339,0.7768316968308788,0.8299319727891157,1,1,0.8875,0.1125,1,0,0,1790,3055.2999999999947,78255,16352
ablation-deterministic-rules,480,120,0.8645833333333334,0.8310631251947296,0.8923143233874637,0.9931972789115646,1,1,1,0,1,0,0,1733,3172.2499999999995,50740,9446
ablation-output-validation,480,115,0.8645833333333334,0.8310631251947296,0.8923143233874637,0.9931972789115646,1,1,1,0,1,0,0,1687,2366.6,48620,9060
